case;stage;start_time;end_time;Территория;Время работы;Оценка доставки
10017161163;Заказ оформлен;03.12.2022 16:28;03.12.2022 16:28;13;с 10 до 22;
10017161163;Поступление заказа сборщику;03.12.2022 16:28;03.12.2022 16:29;13;с 10 до 22;
10017161163;Сборка заказа;03.12.2022 16:29;03.12.2022 16:53;13;с 10 до 22;
10017161163;Упаковка товара;03.12.2022 16:53;03.12.2022 16:55;13;с 10 до 22;
10017161163;Оплата;03.12.2022 16:55;03.12.2022 16:56;13;с 10 до 22;
10017161163;Отмена заказа;03.12.2022 16:56;03.12.2022 16:56;13;с 10 до 22;
10027814634;Заказ оформлен;16.11.2022 15:20;16.11.2022 15:20;13;с 10 до 22;1
10027814634;Поступление заказа сборщику;16.11.2022 15:20;16.11.2022 15:21;13;с 10 до 22;1
10027814634;Сборка заказа;16.11.2022 15:21;16.11.2022 15:45;13;с 10 до 22;1
10027814634;Упаковка товара;16.11.2022 15:45;16.11.2022 15:46;13;с 10 до 22;1
10027814634;Оплата;16.11.2022 15:46;16.11.2022 15:47;13;с 10 до 22;1
10027814634;Передача товара курьеру;16.11.2022 15:47;16.11.2022 15:52;13;с 10 до 22;1
10027814634;Доставка заказа;16.11.2022 15:52;16.11.2022 16:25;13;с 10 до 22;1
10027814634;Проверка заказа;16.11.2022 16:25;16.11.2022 16:26;13;с 10 до 22;1
10027814634;Заказ доставлен;16.11.2022 16:26;16.11.2022 16:26;13;с 10 до 22;1
10040881505;Заказ оформлен;03.11.2022 19:50;03.11.2022 19:50;74;с 10 до 22;4
10040881505;Поступление заказа сборщику;03.11.2022 19:50;03.11.2022 19:51;74;с 10 до 22;4
10040881505;Сборка заказа;03.11.2022 19:51;03.11.2022 20:15;74;с 10 до 22;4
10040881505;Упаковка товара;03.11.2022 20:15;03.11.2022 20:17;74;с 10 до 22;4
10040881505;Оплата;03.11.2022 20:17;03.11.2022 20:17;74;с 10 до 22;4
10040881505;Отмена заказа;03.11.2022 20:17;03.11.2022 20:17;74;с 10 до 22;4
10059095356;Заказ оформлен;01.12.2022 18:45;01.12.2022 18:45;13;с 10 до 22;1
10059095356;Поступление заказа сборщику;01.12.2022 18:45;01.12.2022 18:46;13;с 10 до 22;1
10059095356;Сборка заказа;01.12.2022 18:46;01.12.2022 19:10;13;с 10 до 22;1
10059095356;Упаковка товара;01.12.2022 19:10;01.12.2022 19:12;13;с 10 до 22;1
10059095356;Оплата;01.12.2022 19:12;01.12.2022 19:12;13;с 10 до 22;1
10059095356;Передача товара курьеру;01.12.2022 19:12;01.12.2022 19:18;13;с 10 до 22;1
10059095356;Доставка заказа;01.12.2022 19:18;01.12.2022 19:51;13;с 10 до 22;1
10059095356;Отмена заказа;01.12.2022 19:51;01.12.2022 19:51;13;с 10 до 22;1
10061305588;Заказ оформлен;26.12.2022 14:47;26.12.2022 14:47;69;с 9 до 18;5
10061305588;Поступление заказа сборщику;26.12.2022 14:47;26.12.2022 14:48;69;с 9 до 18;5
10061305588;Сборка заказа;26.12.2022 14:48;26.12.2022 15:11;69;с 9 до 18;5
10061305588;Упаковка товара;26.12.2022 15:11;26.12.2022 15:14;69;с 9 до 18;5
10061305588;Оплата;26.12.2022 15:14;26.12.2022 15:14;69;с 9 до 18;5
10061305588;Передача товара курьеру;26.12.2022 15:14;26.12.2022 15:19;69;с 9 до 18;5
10061305588;Доставка заказа;26.12.2022 15:19;26.12.2022 15:52;69;с 9 до 18;5
10061305588;Проверка заказа;26.12.2022 15:52;26.12.2022 15:53;69;с 9 до 18;5
10061305588;Заказ доставлен;26.12.2022 15:53;26.12.2022 15:53;69;с 9 до 18;5
10071669409;Заказ оформлен;15.12.2022 9:00;15.12.2022 9:00;74;с 10 до 22;5
10071669409;Поступление заказа сборщику;15.12.2022 9:00;15.12.2022 9:02;74;с 10 до 22;5
10071669409;Сборка заказа;15.12.2022 9:02;15.12.2022 9:25;74;с 10 до 22;5
10071669409;Упаковка товара;15.12.2022 9:25;15.12.2022 9:28;74;с 10 до 22;5
10071669409;Оплата;15.12.2022 9:28;15.12.2022 9:28;74;с 10 до 22;5
10071669409;Передача товара курьеру;15.12.2022 9:28;15.12.2022 9:33;74;с 10 до 22;5
10071669409;Доставка заказа;15.12.2022 9:33;15.12.2022 10:06;74;с 10 до 22;5
10071669409;Проверка заказа;15.12.2022 10:06;15.12.2022 10:08;74;с 10 до 22;5
10071669409;Заказ доставлен;15.12.2022 10:08;15.12.2022 10:08;74;с 10 до 22;5
10074728799;Заказ оформлен;26.12.2022 21:14;26.12.2022 21:14;13;с 10 до 22;5
10074728799;Поступление заказа сборщику;26.12.2022 21:14;26.12.2022 21:16;13;с 10 до 22;5
10074728799;Сборка заказа;26.12.2022 21:16;26.12.2022 21:40;13;с 10 до 22;5
10074728799;Упаковка товара;26.12.2022 21:40;26.12.2022 21:42;13;с 10 до 22;5
10074728799;Оплата;26.12.2022 21:42;26.12.2022 21:42;13;с 10 до 22;5
10074728799;Передача товара курьеру;26.12.2022 21:42;26.12.2022 21:47;13;с 10 до 22;5
10074728799;Доставка заказа;26.12.2022 21:47;26.12.2022 22:20;13;с 10 до 22;5
10074728799;Отмена заказа;26.12.2022 22:20;26.12.2022 22:20;13;с 10 до 22;5
10091920835;Заказ оформлен;25.11.2022 14:00;25.11.2022 14:01;13;с 10 до 22;
10091920835;Поступление заказа сборщику;25.11.2022 14:01;25.11.2022 14:02;13;с 10 до 22;
10091920835;Сборка заказа;25.11.2022 14:02;25.11.2022 14:26;13;с 10 до 22;
10091920835;Упаковка товара;25.11.2022 14:26;25.11.2022 14:28;13;с 10 до 22;
10091920835;Оплата;25.11.2022 14:28;25.11.2022 14:28;13;с 10 до 22;
10091920835;Передача товара курьеру;25.11.2022 14:28;25.11.2022 14:33;13;с 10 до 22;
10091920835;Доставка заказа;25.11.2022 14:33;25.11.2022 15:05;13;с 10 до 22;
10091920835;Проверка заказа;25.11.2022 15:05;25.11.2022 15:07;13;с 10 до 22;
10091920835;Заказ доставлен;25.11.2022 15:07;25.11.2022 15:07;13;с 10 до 22;
10097633050;Заказ оформлен;08.11.2022 8:02;08.11.2022 8:02;74;с 10 до 22;3
10097633050;Поступление заказа сборщику;08.11.2022 8:02;08.11.2022 8:03;74;с 10 до 22;3
10097633050;Сборка заказа;08.11.2022 8:03;08.11.2022 8:27;74;с 10 до 22;3
10097633050;Упаковка товара;08.11.2022 8:27;08.11.2022 8:29;74;с 10 до 22;3
10097633050;Оплата;08.11.2022 8:29;08.11.2022 8:29;74;с 10 до 22;3
10097633050;Передача товара курьеру;08.11.2022 8:29;08.11.2022 8:34;74;с 10 до 22;3
10097633050;Доставка заказа;08.11.2022 8:34;08.11.2022 9:08;74;с 10 до 22;3
10097633050;Проверка заказа;08.11.2022 9:08;08.11.2022 9:09;74;с 10 до 22;3
10097633050;Заказ доставлен;08.11.2022 9:09;08.11.2022 9:09;74;с 10 до 22;3
10116123795;Заказ оформлен;06.10.2022 11:24;06.10.2022 11:25;69;с 9 до 18;3
